LSOA21CD,Scenario,Parameter,Unit,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
E01000001,ICE Ban,PHEV vans,Number,1,1,1,1,1,1,1,1,2,2,3,4,4,4,4,4,3,3,3,3,2,2,2,1,1,1,1,0,0
E01000002,ICE Ban,PHEV vans,Number,2,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,3,3,3,2,2,1,1,1,2,0,0
E01000003,ICE Ban,PHEV vans,Number,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,0,1,1,1,1,2,0,0,0,0
E01000005,ICE Ban,PHEV vans,Number,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0
E01000006,ICE Ban,PHEV vans,Number,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0
E01000007,ICE Ban,PHEV vans,Number,0,0,0,0,0,0,0,0,1,1,2,2,3,3,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0
E01000008,ICE Ban,PHEV vans,Number,0,0,0,0,0,0,0,0,1,2,2,3,3,3,3,3,3,2,2,2,2,1,1,1,1,2,0,0,0
E01000009,ICE Ban,PHEV vans,Number,0,0,0,0,0,0,0,0,1,1,1,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0
E01000011,ICE Ban,PHEV vans,Number,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
E01000012,ICE Ban,PHEV vans,Number,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0
E01000013,ICE Ban,PHEV vans,Number,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0
E01000014,ICE Ban,PHEV vans,Number,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0
